Year,Survey ResponseID
2018,R_0BrMxYYMHVMOBEJ
2018,R_0exEFdj5YTDEgqB
2018,R_111J2YLIGckNIeJ
2018,R_1C8t1JAe5Wo7sSl
2018,R_1E0ZZlhukNsNc7w
2018,R_1KdlBlo1yOVwef9
2018,R_1KrGWfbBFSsqxlt
2018,R_1MPUcBEwaqGfQoa
2018,R_1MQ9xtfsmzwaDML
2018,R_1NDpAK5cXZeWOk0
2018,R_1QfRrCll2CbcTFM
2018,R_1eQnJj8K1vtPl5u
2018,R_1eY3IFJxdbNlGKz
2018,R_1gOvSHnmB0FOZ67
2018,R_1hyGhuYSTYCejtk
2018,R_1jvbQxV30XN8Ez0
2018,R_1kMSPTD9ssCD0Qg
2018,R_1luTSUbcBgaFCl6
2018,R_1n1v2rlOuRZSVHe
2018,R_1plN2AGfPYfGLdD
2018,R_1pxM7P5tV3JinW2
2018,R_1r6N3kesE63C7Fn
2018,R_1rwPbDimMLAMIjX
2018,R_20Z3XrmdVrFDp3r
2018,R_21B94A6XQ9h1HZb
2018,R_22rJF9Az75VyMxb
2018,R_24iLkLePWOZEFuA
2018,R_24zUdJ8NlmiSMK8
2018,R_2AXcJk6rRN4M33l
2018,R_2B3bueiWdZ91lDI
2018,R_2EAiqNzmPqLIqi0
2018,R_2Ehm9Yqn76kYwsA
2018,R_2TyNqXQy4tqlDRP
2018,R_2V8Ac6RCBNKviX0
2018,R_2VQG7Cq554P9Ov7
2018,R_2Yu31boRFb6mCr1
2018,R_2awplSTVkAfH3Gp
2018,R_2diGjJelIirkHCV
2018,R_2qeXZMff18m7VYW
2018,R_2rIokyDoOjDH9iR
2018,R_2tbqMx9jeyHq0EW
2018,R_2uD38dVQrhXDq31
2018,R_2uPP0QfWOUs53oX
2018,R_2wRVNkYiRVt3DWL
2018,R_2xMjaU2mfHWIU1z
2018,R_2xSi1OCICve9fY6
2018,R_2zA3rxZzRWZ8ufq
2018,R_3006iqWvyrARyM5
2018,R_31TT1wA5qLC8jaX
2018,R_322sl9lkckDZD5Y
2018,R_33CMoshOPscuZoK
2018,R_3HAe8cULrdkI2kW
2018,R_3JLAhdJnyyhPjVz
2018,R_3KCo0LEpRwKOMBe
2018,R_3KxdwpyxRTWWDqb
2018,R_3L5PlZC0jvJDclX
2018,R_3L7NpSc9nqAFvjF
2018,R_3MgMcC1lF0RiuW6
2018,R_3NX1XMFeTwLlCt1
2018,R_3Pp1HTLxoglta9u
2018,R_3dMKMqrWj3lm22L
2018,R_3fVvu75IqhUjuUO
2018,R_3hARpdMQV0f2vVj
2018,R_3hsu9QxGqr1fWqT
2018,R_3im9Cg30Oip8HJG
2018,R_3lMqHBzl2gFmIku
2018,R_3nldfxTDjFdxvuf
2018,R_3oB0VIIWn6ZnPjN
2018,R_3oRbWw6Brl9Zczg
2018,R_3ozJ1nZkdvnHKF5
2018,R_3qahw7Bskcnb8CK
2018,R_3qqFTaAzyu3G7IS
2018,R_4UzHfPu0I44EyLn
2018,R_9NzlQyQfOmHZ2qB
2018,R_9U2pxdANhXddsKB
2018,R_9piETGB9s3Vxj2h
2018,R_DDmXqLOwLD9GD3b
2018,R_DTrD9QIw8cM6tUJ
2018,R_OdOK4CH8YxSw3Sx
2018,R_Oqwn8h7JmD9kZLr
2018,R_Ox1a2sI5ubUPpzr
2018,R_Q4STulV6BKUy7Lj
2018,R_Rk6QaXPtRCxwSLT
2018,R_SDA9FNV5BkNoxPj
2018,R_SVmBvLv4VYHH09X
2018,R_Wvek6KTbhuRTUxb
2018,R_Xilms2p1sQqPq4p
2018,R_XvQvSZcUpzRXxrr
2018,R_ZauRmxopn1S5Sud
2018,R_ZegAOoGxHgKdVIZ
2018,R_Zta1XxxkHsDrVfz
2018,R_b2GkGBSnh7BW6RP
2018,R_cD8Z9sFkKWQbxfP
2018,R_p9LWfvz97wD5ijn
2018,R_pDvN5mXVu1pmtSV
2018,R_pLf43RXMb10hDUZ
2018,R_tVBwSUerMFXisLL
2018,R_wSlm7tZUBe1VTAB
2018,R_xayV525B1zHdFG9
2019,R_10UUe0vuP5GA2RB
2019,R_1DzG6V05pa3lHSx
2019,R_1FmFxVGW4771Ubh
2019,R_1JRRs0ZhgHAXLPG
2019,R_1LXVb9shLsHRmNV
2019,R_1LXWy9XtgeTLKs3
2019,R_1MRiCPyfWGB5siw
2019,R_1MWGgHMNDdqJb2L
2019,R_1N1YOGbiFkuF3OL
2019,R_1OMKeKICcW0F652
2019,R_1PaWyy52p6QVJzy
2019,R_1QLtq9IxnM5iU7c
2019,R_1gOX88nojaBXOt2
2019,R_1gbgvUaYtbFddFK
2019,R_1hSy03tFnfe480c
2019,R_1ik8stGviOCACC4
2019,R_1jO4s7oht3pyKEc
2019,R_1l6OglubZSTYfi3
2019,R_1lgHUtzxBe9APYk
2019,R_1mEl7bQFxeR8t4T
2019,R_1mORsCmVhA1gSC0
2019,R_1qgPz4asGPArm6S
2019,R_22yrF4uq6PhC732
2019,R_23f82WqsqmRxv81
2019,R_24O5ATFj4FIytz4
2019,R_27IjOn4j4TKCXmr
2019,R_28NkTn9kU8ZlUeT
2019,R_29bwiW5mHQ591tv
2019,R_2BsQo2hVc1VWdPq
2019,R_2P6gheLR59JfOIS
2019,R_2PdHkMSzW7totCp
2019,R_2QtiIPWanuleOw1
2019,R_2RQZEfADuF3JHjR
2019,R_2SwUvSGD0Anb9Xo
2019,R_2TBmftW1hJkzU7b
2019,R_2TEHhHhGG0nUPl0
2019,R_2ToOV1oNsaLjnTv
2019,R_2U3f0mE7ZGgYLhZ
2019,R_2VgZ0EttZLvI0QY
2019,R_2X5mdNuURaQh7R9
2019,R_2YFLegfpzYFyRpy
2019,R_2ary1I4SkdMpWws
2019,R_2awplSTVkAfH3Gp
2019,R_2dL049KyJSlVaMx
2019,R_2eP9RaoDUn9qgIR
2019,R_2upS0p7bpR4MjRV
2019,R_2vc5pDjp5Xdmb6j
2019,R_2xPnZcxP6mIbWhP
2019,R_2z6ASEYEd1PP5Hu
2019,R_31ow00zD9f3PW6B
2019,R_339iXVPjwR19zGl
2019,R_3EYhs6sdztDRTgU
2019,R_3FJqi0ATxRwqj8Q
2019,R_3Gvq8BkHNwpHB6L
2019,R_3HYTI2GoQycZ7pm
2019,R_3Hklums6AcOIz3o
2019,R_3IPMrsaowKJJ58Z
2019,R_3JgTD4MtLbi3fNJ
2019,R_3KBMM6Vf5T55MvH
2019,R_3MlHi1BP6irqitk
2019,R_3OqMW6YSX0vIdbq
2019,R_3PBHIKT3ZQWembf
2019,R_3PZvezr4ITRkiKV
2019,R_3Pp1NX5epN3lIb4
2019,R_3PvFbT0TE2uKxjr
2019,R_3QKrCMtmbxM5bhm
2019,R_3QLCg8ss7L5Yazo
2019,R_3fZw8PrvipmbCr0
2019,R_3hEeWqNZ7i0UcHj
2019,R_3hmElrazixrEM9a
2019,R_3iEBxv0adFMzSFz
2019,R_3j9G4pFP8OAvC8D
2019,R_3kc4QWV5AiSbW9E
2019,R_3mknIzzCIrBk3h8
2019,R_3nSf4mvqWxoek6g
2019,R_3p3D0kUa3mMJbyi
2019,R_3qI6fUp7Ii7Vp1F
2019,R_3qWelyoPjmQzdkZ
2019,R_4YPdzUvrGkSSPv3
2019,R_5A0Vk6zHG1sJPuV
2019,R_9piETGB9s3Vxj2h
2019,R_BEQWMs4OT1kbHGx
2019,R_BLHSjhNDo0SfXd7
2019,R_BqYfDp9vJ2Y07K1
2019,R_O70YEa9HWAo6yBP
2019,R_OPV6nIqHGNNWWmB
2019,R_RP0Rwpy5j0LtLDb
2019,R_RUm7V3LssbCRwQh
2019,R_SGKBwA3GI43FYlj
2019,R_WwVKVhGu4erKLWV
2019,R_YWxPdbahUtA72LL
2019,R_Zz495Ir7AjUbSCJ
2019,R_bEM9MySQ9bTLMc1
2019,R_cIudxwAvVxJzhkd
2019,R_dbSABCSEfLdFkfD
2019,R_qIPpNc91VzN4uIh
2019,R_qPjy2muw6qEj8dj
2019,R_rlHGmaf05gJCiKR
2019,R_shvqnG0WLnaaPHr
2019,R_tSxa3IptvDML4PL
2019,R_vNX89NhXvOOFm1j
2019,R_x3pr7vCXkREOePv
2019,R_xrT6mb0siRaur29
2020,R_10SesRyoFJEe0pe
2020,R_1C10dGVUKtIJdzj
2020,R_1IvixEtBxtoh7vX
2020,R_1JJ9dsXDfWNb4HX
2020,R_1LulffFsNbmcr93
2020,R_1M3NpvxQQpsbEzI
2020,R_1NeoNgC1NTMpb9s
2020,R_1OrTsiPCkAlmb0N
2020,R_1PZ4RLWFoejyITM
2020,R_1SvBiUOkCrlBTKV
2020,R_1ifeyygtqm44laj
2020,R_1jebmENodGAJmzu
2020,R_1lsP2wqcavnlqNP
2020,R_1n0dOD9WksQry1T
2020,R_1obsgZ53Sal9ZAu
2020,R_25ykPdwNtbJFP1g
2020,R_271MengshrPzDvK
2020,R_2AXrxS8YlU9cken
2020,R_2BlHZxuSDn1CqwC
2020,R_2CWyXLZNxMXT6xY
2020,R_2P7oJmP5i7tHjC2
2020,R_2VQ4fJhyE3krisI
2020,R_2YFLegfpzYFyRpy
2020,R_2awxWgzoilIrv93
2020,R_2b1vSrje3vtFi67
2020,R_2bIBzFGLRT37EZT
2020,R_2ceym1bWxLke53s
2020,R_2e3UMfLV5sMAVqW
2020,R_2eP9RaoDUn9qgIR
2020,R_2f27EFpSQMRhxnI
2020,R_2upS0p7bpR4MjRV
2020,R_31LyI2lVjeZ7OVi
2020,R_3ErQCzsLvW3VNS4
2020,R_3EutPfLBwg7pRd5
2020,R_3F5y4cdVNzWpTQR
2020,R_3GiUgBX63FWdGAk
2020,R_3Gwv5NOXlLi4HIo
2020,R_3KO5gn8V90pKQAC
2020,R_3Kp8Seg75oN0gPs
2020,R_3MF28eq3M9qFahB
2020,R_3MsVnVTECl4iNiV
2020,R_3NHVyd3vxnAxSbx
2020,R_3RvXHy11K1LG6pG
2020,R_3exc2XR26AhKKGz
2020,R_3kFE2p3j4I8dh9B
2020,R_3kGrnHVJoTvPeHd
2020,R_3nSf4mvqWxoek6g
2020,R_3rVqxTBmoLXzDK5
2020,R_3s0MTWa7ceCCXi8
2020,R_3s0valWdtzHUuWl
2020,R_3spR17i2ypcZudz
2020,R_4Z4gbYCq8hbb8hb
2020,R_5oJ5K2mLMySYVVf
2020,R_6VEMKtYq5Nx0JQ5
2020,R_Ab4qPG2AzmxvhFT
2020,R_BEQWMs4OT1kbHGx
2020,R_BRQBOvIYvOAz5w5
2020,R_O0BdmeSkj1Qcdbz
2020,R_O70YEa9HWAo6yBP
2020,R_Oqwn8h7JmD9kZLr
2020,R_RREIEbVUb6F2t2h
2020,R_WfcQjcLLrgyyhZD
2020,R_XMyTz3sIsacmJRD
2020,R_XZAx9TyW7gz9GxP
2020,R_bDEl7Y9wLiPfSTv
2020,R_d9Uxvmk8nrY8YYF
2020,R_pGHKffvC4zrBtAJ
2020,R_qElbHZQ0UdIH4DT
2020,R_qPjy2muw6qEj8dj
2020,R_z6D1T2MULlDlLAB
2021,R_10PDLObOugOU8tc
2021,R_10SesRyoFJEe0pe
2021,R_128SoytOm4LO2kk
2021,R_1F57CbiIhh4rOKq
2021,R_1F5LdE5ipIiHqwA
2021,R_1FzkhYhOpeojsYt
2021,R_1GCwpR4TbUNRunu
2021,R_1H2C6LKN5sYiPMS
2021,R_1JFagmho9RdIy6Q
2021,R_1JJ8YCoLzDqN39u
2021,R_1MQ9xtfsmzwaDML
2021,R_1NxFdNqQPtjjSci
2021,R_1OBGRKo14yqf56y
2021,R_1ewSs1s8XEonRw7
2021,R_1f1PzEZw8H2N4zm
2021,R_1gTQqpDTAFyI1fr
2021,R_1hSy03tFnfe480c
2021,R_1i8uPeiHVhFcQB8
2021,R_1lgHUtzxBe9APYk
2021,R_1plN2AGfPYfGLdD
2021,R_1qhe0MeBprincPa
2021,R_27EdXSyXrMPQDOm
2021,R_27OmKbTDz2F6oo6
2021,R_2AFgFpz54dta2Rq
2021,R_2AHzIRVacBX5dji
2021,R_2CCIe1MGUGLmt3X
2021,R_2QX6bqN2BA5Ex0p
2021,R_2R8I34UkpD6LvFu
2021,R_2SiXkZxNq21reCS
2021,R_2VvStBjp5jR1hKH
2021,R_2du26zXaU8cUilQ
2021,R_2foDWbM9hrc4GlL
2021,R_2ohMwJ89VMqWmQ1
2021,R_2rpkoWYSank57J6
2021,R_2sRzKo7JWAsnKuH
2021,R_2vcUqrEnDECYs4j
2021,R_31vHYfmUkFAL7sQ
2021,R_3CTqIaRKgDuGP1L
2021,R_3Gwv5NOXlLi4HIo
2021,R_3IaddE3q66Zxn9K
2021,R_3OqMW6YSX0vIdbq
2021,R_3PNNUrowNtmDaYu
2021,R_3PTW4l8uG9RR8ea
2021,R_3PyJEoMJ2wYxMeW
2021,R_3R8F2ljXMFXkGjC
2021,R_3kM9FhqXba9VXRS
2021,R_3n6tdl4OwYH7ZdB
2021,R_3pg3JqNkeNbi2fG
2021,R_6WZSxSB9P1tPJuN
2021,R_7WBotcu3OLipNWV
2021,R_85OdkeCoFP5daLL
2021,R_9YPn7sq6F3UFSmZ
2021,R_Ra9w371cJUQHkBj
2021,R_USJD2iFMcaC6Wjf
2021,R_eqVPFWs6xsOSTeh
2021,R_pM2zj7XA5ai0mgF
2021,R_umkBztpJiFIRkxX
2021,R_vMtYQrockCOY7g5
2021,R_vTs8n6fZBRT6mw9
